id;name;jhi_order;description;curriculum_id
1;Змістовий модуль І. Основи лінійної та векторної алгебри;1;;1
2;Змістовий модуль ІІ. Аналітична геометрія. Основи лінійної та векторної алгебри;2;;1
3;Змістовий модуль ІІІ. Вступ до математичного аналізу;3;;1
4;Змістовий модуль ІV. Диференціальне числення функції однієї змінної;4;;1
5;Змістовий модуль V. Функції багатьох змінних;5;;1
6;Змістовий модуль VI. Інтегральне числення;6;;1
7;Змістовий модуль VII. Диференціальні рівняння;7;;1
8;Змістовий модуль VIII. Ряди;8;;1
9;Розділ 1. Концепція  об’єктно-орієнтованих баз даних. Модель ООБД Caché;1;;2
10;Розділ 2. Розробка прикладних програм доступу до ООБД;2;;2
11;Розділ 3. Спеціальні засоби програмування в Cache;3;;2
12;Розділ 1. Проектування розподілених інформаційних систем;1;;3
13;Розділ 2. Проектування та використання розподілених баз даних;2;;3
14;Розділ 3. Інструментальні засоби розробки систем з розподіленими базами даних;3;;3
