id;title;title_short_form;description
43391707895;Академик-секретарь;акад.-секр.;Учёная степень
1323942265;Аспирант;асп.;
2948663312;Ассистент;асс.;
4947284375;Ведущий научный сотрудник;внс;
8688797545;Ведущий специалист;вед.спец.;
8818169485;Вице-президент;вице-през.;
4995524172;Генеральный директор;ген.дир.;
7465431440;Генеральный конструктор;ген.констр.;
8425647025;Главный научный сотрудник;гнс;
2326848511;Главный редактор;гл.ред.;
8005399503;Главный специалист;гл.спец.;
7367231006;Декан;декан;
4898364727;Директор;дир.;
7493718836;Докторант;докторант;
8995182237;Доцент;доц.;
1254373219;Заведующий кафедрой;зав.каф.;
2158721889;Заведующий станцией;зав.станц.;
3457740479;Зам. академика-секретаря;зам.акад.-секр.;
9835540629;Зам. генерального директора;зам.ген.дир.;
3515071651;Зам. главного редактора;зам.гл.ред.;
3085293905;Зам. декана;зам.дек.;
2670806227;Зам. директора;зам.дир.;
8478249398;Зам. председателя;зам.пред.;
6882602661;Зам. руководителя;зам.рук.;
8047941000;Зам. руководителя (заведующего, начальника) группы;зам.рук.гр.;
9372190120;Зам. руководителя (заведующего, начальника) лаборатории;зам.рук.лаб.;
4030957108;Зам. руководителя (заведующего, начальника) отдела;зам.рук.отдела;
2476893827;Зам. руководителя (заведующего, начальника, председателя) отделения;зам.рук.отд.;
3785300357;Зам. руководителя (заведующего, начальника) сектора;зам.рук.сект.;
3034171277;Зам. руководителя (заведующего, начальника, председателя) центра (научного, учебного и т.п.);зам.рук.центра;
6838987406;Консультант;конс.;
6335536942;Лаборант;лаб.;
9279563159;Младший научный сотрудник;мнс;
6455812208;Научный консультант;науч.конс.;
8001741960;Научный сотрудник;нс;
7062395155;Начальник управления;нач.упр.;
9611304181;Начальник экспедиции;нач.экспед.;
3773940344;Председатель.;пред.;
1013860972;Президент;през.;
6512294487;Преподаватель;преп.;
3016260070;Проректор;проректор;
1827506551;Профессор;проф.;
8837852949;Редактор;ред.;
1507762451;Ректор;ректор;
3454850488;Руководитель (заведующий, начальник) группы;рук.гр.;
5424471751;Руководитель (заведующий, начальник) лаборатории;рук.лаб.;
7803200532;Руководитель (заведующий, начальник) отдела;рук.отдела;
6152852738;Руководитель (заведующий, начальник, председатель) отделения;рук.отд.;
9375837048;Руководитель (заведующий, начальник) сектора;рук.сект.;
2322463563;Руководитель (заведующий, начальник, председатель) центра (научного, учебного и т.п.);рук.центра;
3484308187;Советник;советник;
8345247026;Специалист (зоолог, программист, геолог, инженер и т.п.);спец.;
6831844077;Старший специалист (геолог, зоолог, инженер и т.п.);ст.спец.;
94533485018;Старший лаборант;ст.лаб.;
7601123224;Старший преподаватель;ст.преп.;
2130141261;Старший техник;ст.техн.;
2980002945;Стажер;стажер;
4647312407;Старший научный сотрудник;снс;
5509414630;Студент;студ.;
5169764745;Техник;техн.;
