id;full_name;description
32727385522;Іноземна мова професійного спрямування;
78296416348;Технології розподілених систем та паралельних обчислень;
78348561072;Геометричне моделювання та комп'ютерна графіка;
22525891054;Управління ІТ-проектами;
86730287712;Моделювання систем;
11387689122;Проектування інформаційних систем;
85802661867;Безпека життєдіяльності та цивільний захист;
70905464649;Безпека інформаційних систем;
34649135485;Комп'ютерні мережі;
91024917220;Лінгвістичне забезпечення САПР;
33066384612;Проектування та використання баз даних;
87141740971;Дослідження операцій;
17685417781;Конструкторські САПР;
79712633064;Операційна система UNIX;
73921581609;Теорія ймовірності,імовірнісні процеси і математична статистика;
88825823262;Психологія;
14978068999;Об'єктно-орієнтоване програмування;
44898773665;Математичний аналіз-3.Розв'язання диф.рівнянь;
77362855245;Фізичне виховання;
22101461352;Дискретна математика;
25877701680;Алгоритмізація та програмування;
32005705411;Математичний аналіз;
65625002105;Комп'ютерна схемотехніка та архітектура комп'ютерів;
22293922343;Аналітична геометрія та лінійна алгебра;
99844700200;Україна в контексті історичного розвитку Європи;
20725756398;Фізичне виховання;
