id;name;jhi_order;description;content_module_id
1;Тема 1. Матриці та операції над ними;1;Поняття матриці. Види матриць. Операції над матрицями: транс- понування матриці, додавання двох матриць, множення матриці на число, множення двох матриць. Властивості операцій над матриця- ми.;1
2;Тема 2. Визначники;2;Визначники квадратних матриць (другого та третього порядків, загальний випадок). Властивості визначників. Мінори та алгебраїчні доповнення. Розклад визначників за елементами рядків та стовпців. Методи обчислення визначників.;1
3;Тема 3. Системи лінійних алгебраїчних рівнянь;3;"Системи лінійних алгебраїчних рівнянь, їх розв’язки. Метод Крамера розв’язування систем лінійних алгебраїчних рівнянь.
Обернена матриця. Матричний метод розв’язування систем лінійних рівнянь.
Методи Гаусса і Жордана–Гаусса розв’язування систем лінійних рівнянь.
Означення та обчислення рангу матриці. Критерії сумісності та визначеності системи лінійних алгебраїчних рівнянь.
Однорідні системи лінійних алгебраїчних рівнянь.
Задачі економічного змісту, які приводять до розв’язування систе- ми лінійних алгебраїчних рівнянь.
";1
4;Тема 4. Вектори. Лінійна залежність та лінійна незалежність векторів. Розклад вектора за базисом. Скалярний, векторний та мішаний добутки векторів;4;"Поняття вектора. Лінійні операції над векторами. Колінеарні і компланарні вектори. Умови колінеарності і компланарності век- торів.
Лінійна залежність та лінійна незалежність векторів. Розмірність та базис векторного простору. Розклад вектора за базисом. Ортого- нальні системи векторів.
Скалярний, векторний і мішаний добутки векторів.";1
5;Тема 5. Прямокутна декартова система координат на площині. Пряма на площині;5;Поняття про прямокутну декартову систему на площині.;2
6;Тема 6. Лінії другого порядку;6;Коло. Еліпс. Гіпербола. Асимптоти гіперболи. Парабола.;2
7;Тема 7. Площина і пряма у просторі;7;Різні види рівнянь площини. Взаємне розміщення двох площин. Кут між площинами. Відстань від точки до площини.;2
8;Тема 8. Поверхні другого порядку;8;Канонічні рівняння поверхонь другого порядку.;2
9;Тема 9. Функції та їх основні властивості. Елементарні функції;9;;3
10;Тема 10. Границя послідовності;10;;3
11;Тема 11. Границя функції;11;;3
12;Тема 12. Неперервність функції;12;;3
13;Тема 13. Похідна функції;13;;4
14;Тема 14. Диференціал функції;14;;4
15;Тема 15. Основні теореми диференціального числення. Правило Лопіталя;15;;4
16;Тема 16. Дослідження функції та побудова її графіка;16;;4
17;Тема 17. n-вимірний евклідів простір. Поняття функції багатьох змінних;17;;5
18;Тема 18. Диференціальне числення функції двох змінних;18;;5
19;Тема 19. Екстремуми функції двох змінних;19;;5
20;Тема 20. Первісна функція і невизначений інтеграл. Методи інтегрування;20;;6
21;Тема 21. Інтегрування основних класів функцій;21;;6
22;Тема 22. Визначений інтеграл. Фомула Ньютона-Лейбніца. Методи обчислення визначених інтегралів;22;;6
23;Тема 23. Застосування визначеного інтеграла;23;;6
24;Тема 24. Наближені обчислення визначеного інтеграла;24;;6
25;Тема 25. Невласні інтеграли. Інтеграл Ейлера—Пуассона;25;;6
26;Тема 26. Поняття подвійного інтеграла;26;;6
27;Тема 27. Основні поняття теорії диференціальних рівнянь. Теорема про існування та єдиність розв’язку;27;;7
28;Тема 28. Основні види диференціальних рівнянь першого порядку;28;;7
29;Тема 29. Диференціальні рівняння другого порядку;29;;7
30;Тема 30. Поняття числового ряду. Збіжні та розбіжні числові ряди. Властивості збіжних рядів;30;;8
31;Тема 31. Знакододатні ряди;31;;8
32;Тема 32. Знакозмінні ряди;32;;8
33;Тема 33. Функціональні і степеневі ряди;33;;8
42;Тема 1.1 Проектування розподілених інформаційних систем;1;;12
43;Тема 2.1 Принципи функціонування розподілених баз даних;2;;13
44;Тема 2.2 Проектування розподілених баз даних;3;;13
45;Тема 3.1 Проектування дволанкової архітектури клієнт-сервер;4;;14
46;Тема 3.2 Технології .NET створення триланкових архітектур;5;;14
47;Тема 3.3 Технологія Corba;6;;14
48;Тема 1.1 Методології проектування інформаційної системи;1;;15
49;Тема 1.2 Методологія функціонального проектування;2;;15
50;Тема 1.3 Методологія об’єктно – орієнтованого  проектування ІС;3;;15
51;Тема 2.1 Засоби формування  БД і розробки інтерфейсу користувача;1;;16
52;Тема 2.2 Методи доступу до БД;2;;16
53;Тема 2.3 Засоби мови T-SQL сервера MS SQL SERVER;3;;16
134;Тема 1.1 Основні концепції об’єктно-орієнтованої методології. Модель ООБД бази даних Cache;1;;17
135;Тема 1.2 Основні концепції Cache Object Script  2.04.01.02;2;;17
136;Тема 1.3 Визначення класів та принципи збереження в Cache;3;;17
137;Тема 2.1 Об’єктний доступ до збережених об’єктів.;4;;18
138;Тема 2.2 Сервер автоматизації Caché Object Server для ActiveX (Delphi, C++ Builder);5;;18
139;Тема 2.3 Використання Caché Managed Provider для .NET (C#);6;;18
140;Тема 3.1 SQL-доступ до даних в COS. Мова Cache SQL.;7;;19
141;Тема 3.2 Web-програмування в Cache за допомогою Cache Server Pages;8;;19

